,dumb,reduced,residual
2011-07-26 23:00:00,1.4515000000000007,1.4698768290099984,0.6501999999999999
2011-07-26 23:15:00,1.1496000000000006,1.394380841359999,0.5804
2011-07-26 23:30:00,1.0798000000000003,1.3657297927599985,0.562
2011-07-26 23:45:00,0.9220999999999999,1.2819508244599986,0.48510000000000003
2011-07-27 00:00:00,0.8339999999999999,1.2825302894599986,1.0576999999999994
2011-07-27 00:15:00,0.7128999999999999,1.2308360401599985,1.0575999999999999
2011-07-27 00:30:00,0.6724,1.159524744559998,1.0598999999999996
2011-07-27 00:45:00,0.8237000000000001,1.2554814979099982,1.0586
2011-07-27 01:00:00,0.7442000000000001,1.0997996612099978,2.4071999999999947
2011-07-27 01:15:00,0.5877,1.0289072122099985,2.4049999999999963
2011-07-27 01:30:00,0.5033000000000001,0.9667072121099983,2.4060999999999955
2011-07-27 01:45:00,0.613,1.0963008998099983,2.404599999999996
2011-07-27 02:00:00,0.3785000000000001,0.8937524417099985,2.8051999999999935
2011-07-27 02:15:00,0.31240000000000007,0.8392765594099987,2.803699999999997
2011-07-27 02:30:00,0.2904,0.8209181684099986,2.805299999999996
2011-07-27 02:45:00,0.2206,0.7801481683499988,2.8050999999999964
2011-07-27 03:00:00,0.23149999999999998,0.7650762843499991,2.9873999999999943
2011-07-27 03:15:00,0.2095,0.7271588219499991,2.9893999999999967
2011-07-27 03:30:00,0.2828,0.7167462638099994,2.987099999999994
2011-07-27 03:45:00,0.29750000000000004,0.7243615926099993,3.0165999999999955
2011-07-27 04:00:00,0.41350000000000003,0.7496743024099993,2.721699999999996
2011-07-27 04:15:00,0.3305,0.7358549574099995,2.7204999999999946
2011-07-27 04:30:00,0.30479999999999996,0.7025279047599994,2.721599999999995
2011-07-27 04:45:00,0.33780000000000004,0.6728153213599991,2.721699999999997
2011-07-27 05:00:00,0.5088,0.7366762407599993,1.9408999999999978
2011-07-27 05:15:00,0.8405000000000004,1.1033620128600004,1.9424999999999992
2011-07-27 05:30:00,0.7762000000000004,0.8249577146799992,1.9402999999999988
2011-07-27 05:45:00,0.9766000000000006,0.9386643342799995,1.9409999999999992
2011-07-27 06:00:00,1.0050000000000006,1.0066716847599992,0.8474000000000005
2011-07-27 06:15:00,1.2423999999999995,0.9330324596099991,1.0372000000000003
2011-07-27 06:30:00,2.163099999999998,1.4190414073900035,1.6024999999999976
2011-07-27 06:45:00,2.466099999999996,1.7602589149300047,2.011499999999996
2011-07-27 07:00:00,2.7725999999999984,1.784267464390007,1.8521999999999947
2011-07-27 07:15:00,3.4827999999999992,2.1610616645500116,2.190999999999996
2011-07-27 07:30:00,4.288200000000006,2.679127928560021,2.7982
2011-07-27 07:45:00,4.522900000000006,2.9348713417400254,3.041500000000002
2011-07-27 08:00:00,4.957800000000012,3.615142137040027,2.4601999999999995
2011-07-27 08:15:00,4.878300000000009,3.7770047088400283,2.442799999999999
2011-07-27 08:30:00,4.177300000000003,3.73145348669003,2.4492999999999987
2011-07-27 08:45:00,4.138400000000001,3.62730770490003,2.460699999999999
2011-07-27 09:00:00,3.684099999999998,3.377086924750033,1.8396999999999997
2011-07-27 09:15:00,3.3333999999999993,3.238660601450031,1.7569
2011-07-27 09:30:00,3.2448999999999995,3.3602011591900323,1.8017000000000003
2011-07-27 09:45:00,2.742799999999999,3.1045575481400314,1.6908000000000003
2011-07-27 10:00:00,2.5778999999999987,3.0044894480400304,2.4086999999999983
2011-07-27 10:15:00,2.971499999999996,3.4326296824400333,2.3965
